Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.04640000,     18.66010741,      0.79154462,      0.18660107,      0.60494354,      3.48199609,     18.99707079,
      0.04660000,     18.78108113,      0.79260050,      0.18781081,      0.60478969,      3.52729008,     19.02241193,
      0.04680000,     18.90202169,      0.79363219,      0.18902022,      0.60461197,      3.57286424,     19.04717247,
      0.04700000,     19.02292433,      0.79463969,      0.19022924,      0.60441045,      3.61871650,     19.07135258,
      0.04720000,     19.14378430,      0.79562302,      0.19143784,      0.60418518,      3.66484477,     19.09495246,
      0.04740000,     19.26459684,      0.79658218,      0.19264597,      0.60393621,      3.71124691,     19.11797232,
      0.04760000,     19.38535723,      0.79751718,      0.19385357,      0.60366361,      3.75792075,     19.14041241,
      0.04780000,     19.50606073,      0.79842804,      0.19506061,      0.60336743,      3.80486405,     19.16227298,
      0.04800000,     19.62670264,      0.79931476,      0.19626703,      0.60304774,      3.85207457,     19.18355432,
      0.04820000,     19.74727826,      0.80017736,      0.19747278,      0.60270458,      3.89954999,     19.20425674,
      0.04840000,     19.86778291,      0.80101586,      0.19867783,      0.60233803,      3.94728798,     19.22438057,
      0.04860000,     19.98821191,      0.80183026,      0.19988212,      0.60194814,      3.99528615,     19.24392615,
      0.04880000,     20.10856060,      0.80262058,      0.20108561,      0.60153497,      4.04354209,     19.26289386,
      0.04900000,     20.22882434,      0.80338684,      0.20228824,      0.60109859,      4.09205334,     19.28128411,
      0.04920000,     20.34899848,      0.80412905,      0.20348998,      0.60063907,      4.14081739,     19.29909730,
      0.04940000,     20.46907841,      0.80484724,      0.20469078,      0.60015646,      4.18983171,     19.31633387,
      0.04960000,     20.58905952,      0.80554143,      0.20589060,      0.59965083,      4.23909372,     19.33299430,
      0.04980000,     20.70893721,      0.80621163,      0.20708937,      0.59912226,      4.28860080,     19.34907907,
      0.05000000,     20.82870690,      0.80685786,      0.20828707,      0.59857079,      4.33835031,     19.36458868,
      0.05020000,     20.94836402,      0.80748015,      0.20948364,      0.59799651,      4.38833955,     19.37952366,
      0.05040000,     21.06790401,      0.80807852,      0.21067904,      0.59739948,      4.43856579,     19.39388456,
      0.05060000,     21.18732232,      0.80865300,      0.21187322,      0.59677978,      4.48902627,     19.40767197,
      0.05080000,     21.30661443,      0.80920360,      0.21306614,      0.59613746,      4.53971818,     19.42088647,
      0.05100000,     21.42577581,      0.80973036,      0.21425776,      0.59547260,      4.59063869,     19.43352868,
      0.05120000,     21.54480198,      0.81023330,      0.21544802,      0.59478528,      4.64178492,     19.44559923,
      0.05140000,     21.66368843,      0.81071245,      0.21663688,      0.59407557,      4.69315396,     19.45709880,
      0.05160000,     21.78243070,      0.81116784,      0.21782431,      0.59334353,      4.74474287,     19.46802806,
      0.05180000,     21.90102434,      0.81159949,      0.21901024,      0.59258924,      4.79654867,     19.47838771,
      0.05200000,     22.01946491,      0.81200744,      0.22019465,      0.59181279,      4.84856835,     19.48817848,
      0.05220000,     22.13774797,      0.81239171,      0.22137748,      0.59101423,      4.90079885,     19.49740110,
      0.05240000,     22.25586912,      0.81275235,      0.22255869,      0.59019366,      4.95323710,     19.50605636,
      0.05260000,     22.37382396,      0.81308938,      0.22373824,      0.58935114,      5.00587999,     19.51414503,
      0.05280000,     22.49160811,      0.81340283,      0.22491608,      0.58848675,      5.05872435,     19.52166792,
      0.05300000,     22.60921721,      0.81369274,      0.22609217,      0.58760057,      5.11176703,     19.52862587,
      0.05320000,     22.72664690,      0.81395915,      0.22726647,      0.58669269,      5.16500479,     19.53501972,
      0.05340000,     22.84389286,      0.81420210,      0.22843893,      0.58576317,      5.21843441,     19.54085034,
      0.05360000,     22.96095075,      0.81442161,      0.22960951,      0.58481210,      5.27205259,     19.54611864,
      0.05380000,     23.07781629,      0.81461773,      0.23077816,      0.58383957,      5.32585605,     19.55082552,
      0.05400000,     23.19448517,      0.81479050,      0.23194485,      0.58284564,      5.37984142,     19.55497191,
      0.05420000,     23.31095313,      0.81493995,      0.23310953,      0.58183042,      5.43400536,     19.55855878,
      0.05440000,     23.42721592,      0.81506613,      0.23427216,      0.58079397,      5.48834446,     19.56158709,
      0.05460000,     23.54326930,      0.81516908,      0.23543269,      0.57973638,      5.54285529,     19.56405785,
      0.05480000,     23.65910906,      0.81524884,      0.23659109,      0.57865775,      5.59753441,     19.56597205,
